UserID,Descricao
1,"Desenvolva o sucesso a partir do fracasso. Desencorajamento e fracasso são dois dos mais importantes degraus na escada do sucesso."
2,"Fracasso não é o resultado – fracassar é não tentar. Não tenha medo de falhar."
3,"Frases sobre investimentos: O único lugar em que o sucesso vem antes do trabalho é no dicionário."
4,"Cuidado com as pequenas despesas, pois um pequeno vazamento pode afundar um grande navio."
5,"O mercado de ações foi feito para transferir dinheiro dos investidores ativos para os pacientes."
6,"Frases sobre investimentos: Se você almeja ser rico, pense em poupar assim como você pensa em ganhar (dinheiro)."
7,"Quando você acredita em algo, acredita até o fim. Não dê margem para nenhum tipo de dúvida."
8,"Definir um objetivo é o ponto de partida de toda a realização."
9,"Eu não estaria onde estou se eu não tivesse falhado – e muito. O bom e o ruim fazem parte da equação do sucesso."
10,"Frases sobre investimentos: A maioria das pessoas desiste quando elas estão próximas de alcançar o sucesso. Elas desistem a um passo da linha de chegada."
11,"Ganhar não é tudo, mas querer ganhar é."
12,"Nunca é tarde demais para ser o que você poderia ter sido."
13,"Frases sobre investimentos: Um plano razoável executado hoje é melhor que um plano perfeito que sempre fica para a semana que vem."
14,"Eu não sou um produto de minhas circunstâncias. Eu sou um produto de minhas decisões."
15,"Frases sobre investimentos: Duas estradas divergiam em uma bifurcação, e eu peguei a menos percorrida. E isso fez toda a diferença."
16,"Se você faz o que sempre fez, vai ter o que sempre teve."
17,"Frases sobre investimentos: Eu acredito muito na sorte, e descobri que, quanto mais eu trabalho, mais sorte eu tenho."
18,"Frases sobre investimentos: A vida não é sobre ter, é sobre dar e ser."
19,"A única maneira de fazer um excelente trabalho é amar o que você faz."
20,"Frases sobre investimentos: Você pode ficar desapontado se falhar, mas você está condenado se não tentar."
21,"Há apenas uma maneira de evitar críticas: não faça nada, não diga nada, e não seja nada."
22,"Mais importante do que quanto você ganha, é como você gasta."
23,"Risco vem de você não saber o que está fazendo. Controle o seu dinheiro."
24,"Não há problema em celebrar o sucesso, mas é mais importante considerar as lições que podem ser aprendidas com o fracasso."
25,"Frases sobre investimentos: Só sou rico porque sei quando estou errado. Basicamente eu sobrevivi por conseguir reconhecer os meus erros."
26,"Líderes pensam e falam sobre soluções. Seguidores pensam e falam sobre problemas."
27,"Se você quer ser bem-sucedido, você precisa apostar em novos caminhos em vez de seguir pelos quais já conhece."
28,"Frases sobre investimentos: Se você trabalhar duro e for determinado, você alcançará seus objetivos. Eu não acredito em atalhos."
29,"A razão número um para a maioria das pessoas não conseguirem o que querem é não saberem o que querem. Os ricos sabem claramente que querem dinheiro."
30,"Frases sobre investimentos: A maneira mais rápida de ganhar dinheiro é resolver um problema. Quanto maior for o problema a resolver, mais dinheiro você vai ganhar."
31,"Investir em conhecimento sempre rende os melhores juros."
32,"A educação formal vai fazer você ganhar a vida. A autoeducação vai fazer você alcançar uma fortuna."
33,"Jamais gaste seu dinheiro antes de você possuí-lo."
34,"Em média, os milionários investem 20% de seu rendimento a cada ano. Suas fortunas não são medidas pela quantidade que ganham todos os anos, mas pela forma como eles poupam e investem ao longo do tempo."
35,"Frases sobre investimentos: Sem sabedoria, o ouro pode ser rapidamente perdido por aqueles que o possuem, mas, com sabedoria, o ouro pode ser garantido por aqueles que não o têm."
36,"É muito fácil ficar bem de vida lentamente. Mas não é fácil se tornar rico rapidamente."
37,"Encontre líderes notáveis e uma missão para o longo da vida."
38,"Frases sobre investimentos: A maioria das pessoas não consegue perceber que, na vida, não se trata de quanto dinheiro você ganha. Trata-se de quanto dinheiro você guarda."
39,"Diversificação reduz os riscos, aumenta a previsibilidade e impulsiona os retornos."
40,"Frases sobre investimentos: Uma pessoa que nunca cometeu um erro, nunca tentou nada de novo."
41,"Frases sobre investimentos: Nós nos tornamos aquilo que pensamos."
42,"Não importa se você vai devagar, desde que não pare."
43,"Seja paciente e ignore modismos. Foque no valor e não entre em pânico."
44,"Invista pensando no longo prazo, não especule, mas, não ignore as flutuações do mercado."
